iso_a3;Pays;Annee;IntRem
AFG;AFGHANISTAN;2009;0,4944205
AFG;AFGHANISTAN;2012;0,511302
AFG;AFGHANISTAN;2015;0,6050815
AFG;AFGHANISTAN;2018;0,795201
AFG;AFGHANISTAN;2020;0,7236325
AFG;AFGHANISTAN;2023;0,8575255
AGO;ANGOLA;2009;0,476729
AGO;ANGOLA;2012;0,464447
AGO;ANGOLA;2015;0,5052725
AGO;ANGOLA;2018;0,7260745
AGO;ANGOLA;2020;0,5811495
AGO;ANGOLA;2023;0,5717515
ALB;ALBANIE;2009;0,344008
ALB;ALBANIE;2012;0,2774305
ALB;ALBANIE;2015;0,293984
ALB;ALBANIE;2018;0,320317
ALB;ALBANIE;2020;0,347584
ALB;ALBANIE;2023;0,3290445
AND;ANDORRE;2009;0,2021455
AND;ANDORRE;2012;0,167741
AND;ANDORRE;2015;0,1674135
AND;ANDORRE;2018;0,165653
AND;ANDORRE;2020;0,1647115
AND;ANDORRE;2023;0,1825245
ARE;EMIRATS ARABES UNIS (Abu-Dhabi);2009;0,318304
ARE;EMIRATS ARABES UNIS (Abu-Dhabi);2012;0,325853
ARE;EMIRATS ARABES UNIS (Abu-Dhabi);2015;0,359071
ARE;EMIRATS ARABES UNIS (Abu-Dhabi);2018;0,4418125
ARE;EMIRATS ARABES UNIS (Abu-Dhabi);2020;0,4560155
ARE;EMIRATS ARABES UNIS (Abu-Dhabi);2023;0,4528025
ARG;ARGENTINE;2009;0,220304
ARG;ARGENTINE;2012;0,2441365
ARG;ARGENTINE;2015;0,311616
ARG;ARGENTINE;2018;0,422239
ARG;ARGENTINE;2020;0,3014735
ARG;ARGENTINE;2023;0,359405
ARM;ARMENIE;2009;0,3466955
ARM;ARMENIE;2012;0,304933
ARM;ARMENIE;2015;0,3504885
ARM;ARMENIE;2018;0,328733
ARM;ARMENIE;2020;0,3423765
ARM;ARMENIE;2023;0,4081015
ATG;ANTIGUA-ET-BARBUDA;2009;0,238733
ATG;ANTIGUA-ET-BARBUDA;2012;0,260605
ATG;ANTIGUA-ET-BARBUDA;2015;0,275277
ATG;ANTIGUA-ET-BARBUDA;2018;0,310871
ATG;ANTIGUA-ET-BARBUDA;2020;0,3134185
ATG;ANTIGUA-ET-BARBUDA;2023;0,325078
AUS;AUSTRALIE (Sydney);2009;0,2566665
AUS;AUSTRALIE (Sydney);2012;0,3186805
AUS;AUSTRALIE (Sydney);2015;0,311414
AUS;AUSTRALIE (Sydney);2018;0,296643
AUS;AUSTRALIE (Sydney);2020;0,2632545
AUS;AUSTRALIE (Sydney);2023;0,3087815
AUT;AUTRICHE;2009;0,2413875
AUT;AUTRICHE;2012;0,2007915
AUT;AUTRICHE;2015;0,2055595
AUT;AUTRICHE;2018;0,2083175
AUT;AUTRICHE;2020;0,2238765
AUT;AUTRICHE;2023;0,2451085
AZE;AZERBAIDJAN;2009;0,400283
AZE;AZERBAIDJAN;2012;0,358444
AZE;AZERBAIDJAN;2015;0,3971225
AZE;AZERBAIDJAN;2018;0,336022
AZE;AZERBAIDJAN;2020;0,3609645
AZE;AZERBAIDJAN;2023;0,40336
BDI;BURUNDI;2009;0,3490455
BDI;BURUNDI;2012;0,3701025
BDI;BURUNDI;2015;0,404085
BDI;BURUNDI;2018;0,518823
BDI;BURUNDI;2020;0,5071675
BDI;BURUNDI;2023;0,5160365
BEL;BELGIQUE;2009;0,206079
BEL;BELGIQUE;2012;0,1772205
BEL;BELGIQUE;2015;0,182682
BEL;BELGIQUE;2018;0,1898045
BEL;BELGIQUE;2020;0,194398
BEL;BELGIQUE;2023;0,2132505
BEN;BENIN;2009;0,3458955
BEN;BENIN;2012;0,294976
BEN;BENIN;2015;0,302488
BEN;BENIN;2018;0,296588
BEN;BENIN;2020;0,312599
BEN;BENIN;2023;0,305516
BFA;BURKINA FASO;2009;0,319033
BFA;BURKINA FASO;2012;0,299109
BFA;BURKINA FASO;2015;0,3270635
BFA;BURKINA FASO;2018;0,373805
BFA;BURKINA FASO;2020;0,4556125
BFA;BURKINA FASO;2023;0,507041
BGD;BANGLADESH;2009;0,289775
BGD;BANGLADESH;2012;0,3068385
BGD;BANGLADESH;2015;0,416038
BGD;BANGLADESH;2018;0,587887
BGD;BANGLADESH;2020;0,6048075
BGD;BANGLADESH;2023;0,610714
BGR;BULGARIE;2009;0,305283
BGR;BULGARIE;2012;0,244608
BGR;BULGARIE;2015;0,2363835
BGR;BULGARIE;2018;0,220657
BGR;BULGARIE;2020;0,226354
BGR;BULGARIE;2023;0,2553845
BHR;BAHREIN;2009;0,247308
BHR;BAHREIN;2012;0,2678365
BHR;BAHREIN;2015;0,301381
BHR;BAHREIN;2018;0,418958
BHR;BAHREIN;2020;0,414952
BHR;BAHREIN;2023;0,4366945
BIH;BOSNIE-HERZEGOVINE;2009;0,293708
BIH;BOSNIE-HERZEGOVINE;2012;0,253385
BIH;BOSNIE-HERZEGOVINE;2015;0,2611015
BIH;BOSNIE-HERZEGOVINE;2018;0,260446
BIH;BOSNIE-HERZEGOVINE;2020;0,2596215
BIH;BOSNIE-HERZEGOVINE;2023;0,281446
BLR;BIELORUSSIE;2009;0,344829
BLR;BIELORUSSIE;2012;0,2541735
BLR;BIELORUSSIE;2015;0,320106
BLR;BIELORUSSIE;2018;0,3754555
BLR;BIELORUSSIE;2020;0,406375
BLR;BIELORUSSIE;2023;0,4253245
BLZ;BELIZE;2009;0,2530705
BLZ;BELIZE;2012;0,2238305
BLZ;BELIZE;2015;0,231955
BLZ;BELIZE;2018;0,2849165
BLZ;BELIZE;2020;0,286367
BLZ;BELIZE;2023;0,3020615
BOL;BOLIVIE;2009;0,243858
BOL;BOLIVIE;2012;0,262735
BOL;BOLIVIE;2015;0,305456
BOL;BOLIVIE;2018;0,3565025
BOL;BOLIVIE;2020;0,362554
BOL;BOLIVIE;2023;0,371008
BRA;BRESIL (Brasilia);2009;0,3441375
BRA;BRESIL (Brasilia);2012;0,3372145
BRA;BRESIL (Brasilia);2015;0,284753
BRA;BRESIL (Brasilia);2018;0,3316175
BRA;BRESIL (Brasilia);2020;0,295981
BRA;BRESIL (Brasilia);2023;0,3174145
BRB;BARBADE;2009;0,2683375
BRB;BARBADE;2012;0,250391
BRB;BARBADE;2015;0,2752775
BRB;BARBADE;2018;0,310871
BRB;BARBADE;2020;0,3134185
BRB;BARBADE;2023;0,325078
BRN;BRUNEI;2009;0,236504
BRN;BRUNEI;2012;0,27566
BRN;BRUNEI;2015;0,3079945
BRN;BRUNEI;2018;0,317627
BRN;BRUNEI;2020;0,326115
BRN;BRUNEI;2023;0,335227
BTN;BHOUTAN;2009;0,2447375
BTN;BHOUTAN;2012;0,261161
BTN;BHOUTAN;2015;0,2614745
BTN;BHOUTAN;2018;0,353831
BTN;BHOUTAN;2020;0,3463245
BTN;BHOUTAN;2023;0,357812
BWA;BOTSWANA;2009;0,1920375
BWA;BOTSWANA;2012;0,2258165
BWA;BOTSWANA;2015;0,2042575
BWA;BOTSWANA;2018;0,277328
BWA;BOTSWANA;2020;0,296824
BWA;BOTSWANA;2023;0,298132
CAF;REPUBLIQUE CENTRAFRICAINE;2009;0,415008
CAF;REPUBLIQUE CENTRAFRICAINE;2012;0,3618765
CAF;REPUBLIQUE CENTRAFRICAINE;2015;0,392335
CAF;REPUBLIQUE CENTRAFRICAINE;2018;0,567063
CAF;REPUBLIQUE CENTRAFRICAINE;2020;0,6878025
CAF;REPUBLIQUE CENTRAFRICAINE;2023;0,7445865
CAN;CANADA (Ottawa);2009;0,1796665
CAN;CANADA (Ottawa);2012;0,210076
CAN;CANADA (Ottawa);2015;0,2036355
CAN;CANADA (Ottawa);2018;0,204859
CAN;CANADA (Ottawa);2020;0,210644
CAN;CANADA (Ottawa);2023;0,271095
CHE;SUISSE (autres villes);2009;0,2591205
CHE;SUISSE (autres villes);2012;0,2908575
CHE;SUISSE (autres villes);2015;0,264244
CHE;SUISSE (autres villes);2018;0,2929265
CHE;SUISSE (autres villes);2020;0,305429
CHE;SUISSE (autres villes);2023;0,343636
CHL;CHILI;2009;0,227729
CHL;CHILI;2012;0,254119
CHL;CHILI;2015;0,236569
